"marca","direc","n_encuestador","sd_01","identidad_genero","edad","año_ingreso_carrera","comuna","clase_social","nivel_educacion_padre","nivel_educacion_madre","ultimo_colegio","ea_01_horas_estudio_semana","ea_02_horas_estudio_fin_semana","descripcion_carga_academica","ea_04_notas_ultimo_semestre","satisfaccion_rendimiento_academico","ea_06_nivel_estres_ultimo_semestre","ea_07_efecto_estres_rendimiento","ea_08","ea_09","ea_10","re_01","re_02","re_03","re_04","re_05","rs_01","rs_02","rs_03","rs_04","rs_05","rs_06","to_01","to_02","to_03","to_04","to_05","to_06","ma_01","ma_02","ma_03","ma_04","ma_05","cm_01","cm_02","cm_03","cm_04","cm_05","cm_06","identidad_genero_r","edad_r","año_ingreso_carrera_r","comuna_r1","comuna_distancia","horas_estudio_semana","notas_ultimo_semestre_intervalo","ea_06_nivel_estres_ultimo_semestre_r","ea_07_efecto_estres_rendimiento_r"
45414.7953418403,NA,NA,"Sí","Hombre cisgénero",23,2022,"lampa","Clase social baja","Educación Media","Educación Técnica","Particular subvencionado","3 o 4 horas al día","Más de 7 horas por día","Pesada",6.2,"Insatisfecho",4,"Mucho","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Dolor en el pecho, Fatiga, Problemas de sueño, Irritabilidad o enojo, Diarrea, Cambios en el apetito, Problemas dermatológicos, Tics Nerviosos","Técnicas de relajación (como de respiración o relajación muscular), Organización y planificación del tiempo, Apoyo social (hablar con amigos/familia), Participar en otras actividades creativas (música, arte, escritura)","Creencia firme","No tengo una afiliación religiosa, pero si me considero una persona espiritual (por ejemplo, creo en las energías).","A diario.","Sí, asisto","Moderadamente influyente","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Obtener información de noticias y eventos, Participar en grupos o comunidades de interés (Ej: Grupo de Instagram de fans de Los Bunkers)","No","Desconectándome temporalmente","Instagram","WhatsApp","Poco tiempo.","1 a 2 veces.","No, no administro mi tiempo de manera óptima cuando tengo muchas obligaciones académicas.","Leer. y/o Escribir, Ver series y / o películas., Salir con amigos / familia.","No, las realizo de forma individual","Importante.",1,2,"No","No","Alta frecuencia (usualmente todos mis productos)",7,"Más de 7 horas.","Jazz","Boleros","En el transporte público, En otros lugares","Muy importante","Hombre cisgenero","21 a 23","post-pandemia","Periurbano","Vive a mucha distancia","3 o 4 horas al día","6.0 a 7.0","Estres Alto","Bastante"
45414.8689533796,NA,NA,"Sí","Mujer cisgénero",20,2022,"puente_alto","Clase social media","Educación Profesional","Educación Técnica","Particular subvencionado","3 o 4 horas al día","3 o 4 horas al día","Moderada",5.5,"Insatisfecho",4,"Bastante","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Fatiga, Problemas de sueño, Irritabilidad o enojo, Cambios en el apetito, Tics Nerviosos","Ejercicio físico, Apoyo social (hablar con amigos/familia), Consulta con un profesional de salud mental, Participar en otras actividades creativas (música, arte, escritura)","Creencia moderada","Pagana","Al menos una vez a la semana. Cuando siento la necesidad.","No, no he asistido","Moderadamente influyente","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura)","No","No me estresa","Instagram","WhatsApp","Suficiente tiempo.","Más de 6.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Leer. y/o Escribir, Escuchar música., Salir con amigos / familia.","No, las realizo de forma individual","Muy importante.",7,9,"No","Sí","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 1 a 2 horas.","Rock","Electrónica","En su casa o de familiares., En el transporte público, En el lugar de estudio","Muy importante","Mujer cisgenero","18 a 20","post-pandemia","Zona Sur","Vive a mucha distancia","3 o 4 horas al día","5.0 a 5.9","Estres Alto","Bastante"
45414.8746737616,NA,NA,"Sí","Hombre cisgénero",22,2022,"penalolen","Clase social media","Educación Media","Educación Media","Particular","1 o 2 horas al día","3 o 4 horas al día","Moderada",5.7,"Satisfecho",1,"Poco","Si, se identificar cuando estoy estresado debido a la universidad","No he experimentado síntomas físicos","Carretear, entrenar y tocar guitarra","No creencias","Ateo","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","No influyente en absoluto","Entre 1 a 2 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas., Obtener información de noticias y eventos","No","No me estresa","Instagram","WhatsApp","Suficiente tiempo.","Más de 6.","No estoy seguro(a) / No aplica a mi situación.","Tocar música.","No, las realizo de forma individual","Muy importante.",1,1,"No","No","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 3 a 4 horas.","Metal","New Wave","En su casa o de familiares., En el transporte público, En el lugar de estudio, En otros lugares","Muy importante","Hombre cisgenero","21 a 23","post-pandemia","Zona Oriente","Vive a distancia media","1 o 2 horas al día","5.0 a 5.9","Estres Bajo","Moderadamente"
45414.8780665046,NA,NA,"Sí","Hombre cisgénero",24,2022,"santiago_centro","Clase social media - baja","Educación Técnica","Educación Media","Público","3 o 4 horas al día","5 o 6 horas por días","Moderada",5.4,"Insatisfecho",3,"Moderado","A veces, dependiendo de la situación puedo o no identificar si estoy estresado por la universidad.","Dolores de Cabeza, Problemas de sueño","Ejercicio físico, Tomar descansos regulares","Escéptico","Agnóstico","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","No influyente en absoluto","4 horas o más","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Obtener información de noticias y eventos","No","Desconectándome temporalmente","Youtube","Facebook","Poco tiempo.","3 a 4 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Jugar videojuegos., Escuchar música., Tocar música.","No, las realizo de forma individual","Muy importante.",5,7,"No","No","Baja frecuencia (1 vez a la semana)",7,"Más de 7 horas.","Reggaetón malianteo flamenco vaquillacore","raw underground death metal tecno-terrorista","En su casa o de familiares., En casa de amigos., En el lugar de estudio, En otros lugares","Muy importante","Hombre cisgenero","24 a 29","post-pandemia","Zona Centro","Vive muy cerca","3 o 4 horas al día","5.0 a 5.9","Estres Moderado","Moderadamente"
45415.4417094676,NA,NA,"Sí","Hombre cisgénero",24,2021,"huechuraba","Clase social media - alta","Educación Profesional","Educación Profesional","Particular","1 o 2 horas al día","1 o 2 horas al día","Moderada",5.5,"Insatisfecho",4,"Bastante","A veces, dependiendo de la situación puedo o no identificar si estoy estresado por la universidad.","Problemas de sueño, Irritabilidad o enojo, Cambios en el apetito, Tics Nerviosos","Organización y planificación del tiempo, Consulta con un profesional de salud mental, Tomar descansos regulares","No creencias","Ateo","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","Moderadamente influyente","Entre 1 a 2 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura)","No","Desconectándome temporalmente","WhatsApp","YouTube","Suficiente tiempo.","3 a 4 veces.","No, no administro mi tiempo de manera óptima cuando tengo muchas obligaciones académicas.","Jugar videojuegos., Salir con amigos / familia.","No, las realizo de forma individual","Muy importante.",5,2,"No","No","Baja frecuencia (1 vez a la semana)",6,"Entre 1 a 2 horas.","Rock","Trap","En el transporte público","Importante","Hombre cisgenero","24 a 29","Pandemia","Zona Norte","Vive a distancia media","1 o 2 horas al día","5.0 a 5.9","Estres Alto","Bastante"
45415.7060356134,"sebastianmunozt@gmail.com",NA,"Sí","Hombre cisgénero",23,2020,"quinta_normal","Clase social media","Educación Media","Educación Profesional","Particular subvencionado","3 o 4 horas al día","1 o 2 horas al día","Moderada",5.8,"Satisfecho",4,"Mucho","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Dolor en el pecho, Problemas de sueño, Irritabilidad o enojo, Diarrea, Cambios en el apetito, Problemas dermatológicos, Sudoración excesiva","Técnicas de relajación (como de respiración o relajación muscular), Apoyo social (hablar con amigos/familia), Tomar descansos regulares, Participar en otras actividades creativas (música, arte, escritura)","No creencias","Ateo","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","No influyente en absoluto","Entre 1 a 2 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a instituciones o personas del mundo académico o científico","No","Desconectándome temporalmente","Instagram","Facebook","Suficiente tiempo.","3 a 4 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Jugar videojuegos., Escuchar música., Salir con amigos / familia.","No, las realizo de forma individual","Muy importante.",8,7,"No","No","Frecuencia moderada (de 2 a 3 veces por semana)",5,"Entre 1 a 2 horas.","Punk","Reggaetón","En su casa o de familiares., En casa de amigos., En otros lugares","Muy importante","Hombre cisgenero","21 a 23","Pandemia","Zona Poniente","Vive muy cerca","3 o 4 horas al día","5.0 a 5.9","Estres Alto","Bastante"
45415.7116545255,"sebastianmunozt@gmail.com",NA,"Sí","Mujer cisgénero",21,2022,"la_granja","Clase social media - baja","Educación Técnica","Educación Técnica","Particular subvencionado","3 o 4 horas al día","3 o 4 horas al día","Pesada",6.2,"Satisfecho",4,"Bastante","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Dolor en el pecho, Problemas de sueño, Irritabilidad o enojo, Cambios en el apetito, Problemas dermatológicos, Tics Nerviosos","Técnicas de relajación (como de respiración o relajación muscular), Organización y planificación del tiempo, Apoyo social (hablar con amigos/familia), Tomar descansos regulares, Participar en otras actividades creativas (música, arte, escritura), Danza, escribir cosas que me gustan (poemas) o leer mis libros","Creencia moderada","No tengo una afiliación religiosa, pero si me considero una persona espiritual (por ejemplo, creo en las energías).","Al menos una vez a la semana. Cuando siento la necesidad.","No, no he asistido","Moderadamente influyente","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas., Obtener información de noticias y eventos, Seguir a instituciones o personas del mundo académico o científico,","No","Desconectándome temporalmente","Instagram","Pinterest","Poco tiempo.","3 a 4 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Ver series y / o películas., Escuchar música., Salir con amigos / familia., Escuchar Podcast","No, las realizo de forma individual","Importante.",7,7,"No","No","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 3 a 4 horas.","R&B","Boleros","En su casa o de familiares., En el transporte público","Muy importante","Mujer cisgenero","21 a 23","post-pandemia","Zona Sur","Vive a distancia cercana","3 o 4 horas al día","6.0 a 7.0","Estres Alto","Bastante"
45416.3928971643,"sebastianmunozt@gmail.com","antonia_leiva","Sí","Mujer cisgénero",21,2023,"buin","Clase social media","Educación Profesional","Educación Media","Público","3 o 4 horas al día","3 o 4 horas al día","Pesada",6,"Satisfecho",5,"Mucho","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Dolor en el pecho, Problemas de sueño, Irritabilidad o enojo, Cambios en el apetito","Organización y planificación del tiempo, Participar en otras actividades creativas (música, arte, escritura)","No creencias","No tengo una afiliación religiosa, pero si me considero una persona espiritual (por ejemplo, creo en las energías).","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","Menos influyente","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Compartir mi propia vida y experiencias, Consumir contenido de entretenimiento (humor, arte, cultura), Obtener información de noticias y eventos","No","Desconectándome temporalmente","Instagram","WhatsApp","Poco tiempo.","1 a 2 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Leer. y/o Escribir, Ver series y / o películas., Salir con amigos / familia.","Sí, con un instructor o grupo","Muy importante.",2,4,"No","No","Baja frecuencia (1 vez a la semana)",7,"Entre 1 a 2 horas.","Reggaetón","R&B","En el transporte público","Muy importante","Mujer cisgenero","21 a 23","post-pandemia","Periurbano","Vive a mucha distancia","3 o 4 horas al día","6.0 a 7.0","Estres Alto","Bastante"
45417.5197940278,"sebastianmunozt@gmail.com","joaquin_castillo","Sí","Mujer cisgénero",23,2022,"maipu","Clase social media","Educación Profesional","Educación Técnica","Particular subvencionado","1 o 2 horas al día","3 o 4 horas al día","Moderada",5.7,NA,4,"Bastante","Si, se identificar cuando estoy estresado debido a la universidad","Tensión o dolor muscular, Dolor en el pecho, Problemas de sueño, Irritabilidad o enojo","Ejercicio físico, Organización y planificación del tiempo, Apoyo social (hablar con amigos/familia), Tomar descansos regulares, Participar en otras actividades creativas (música, arte, escritura)","Escéptico","Agnóstico","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","Moderadamente influyente","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Compartir mi propia vida y experiencias, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas., Obtener información de noticias y eventos, Seguir a políticos/as o activistas sociales, Seguir a instituciones o personas del mundo académico o científico, Participar en grupos o comunidades de interés (Ej: Grupo de Instagram de fans de Los Bunkers)","A veces","Desconectándome temporalmente","Instagram","WhatsApp","Suficiente tiempo.","3 a 4 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Jugar videojuegos., Escuchar música., Practicar deporte / ejercitarse.","Sí, con un instructor o grupo","Muy importante.",5,7,"Si","No","Baja frecuencia (1 vez a la semana)",7,"Entre 1 a 2 horas.","Rock","Pop","En su casa o de familiares., En el transporte público","Muy importante","Mujer cisgenero","21 a 23","post-pandemia","Zona Poniente","Vive a distancia media","1 o 2 horas al día","5.0 a 5.9","Estres Alto","Bastante"
45417.5438085648,"sebastianmunozt@gmail.com","mariana_perez","Sí","Mujer cisgénero",24,2020,"quilicura","Clase social media - baja","Educación Técnica","Educación Media","Público","1 o 2 horas al día","3 o 4 horas al día","Pesada",6,NA,3,"Mucho","A veces, dependiendo de la situación puedo o no identificar si estoy estresado por la universidad.","Dolores de Cabeza, Tensión o dolor muscular, Dolor en el pecho, Fatiga, Problemas de sueño, Irritabilidad o enojo, Diarrea, Cambios en el apetito, Problemas dermatológicos, Sudoración excesiva, Tics Nerviosos","Organización y planificación del tiempo, Apoyo social (hablar con amigos/familia), Tomar descansos regulares","Creencia moderada","deísmo","Varias veces a la semana.","No, no he asistido","Moderadamente influyente","Entre 1 a 2 horas","Mantenerse en contacto con amigos y familiares, Compartir mi propia vida y experiencias, Consumir contenido de entretenimiento (humor, arte, cultura)","No","Desconectándome temporalmente","TikTok","Instagram","Suficiente tiempo.","Más de 6.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Leer. y/o Escribir, Jugar videojuegos., Escuchar música., Bailar y/o Cantar","Sí, con un instructor o grupo","Muy importante.",5,7,"Si","Sí","Alta frecuencia (usualmente todos mis productos)",7,"Entre 3 a 4 horas.","Hip-Hop, Rap, Freestyle","Folklore","En su casa o de familiares., En casa de amigos., En el transporte público, En el lugar de estudio, En otros lugares","Muy importante","Mujer cisgenero","24 a 29","Pandemia","Zona Norte","Vive a distancia media","1 o 2 horas al día","6.0 a 7.0","Estres Moderado","Bastante"
